,Portfolio_Return
2026-04-09 15:10:00,9.756522940999314e-05
2026-04-09 15:15:00,-0.00030936387657908287
2026-04-09 15:20:00,1.022660034500275e-05
2026-04-09 15:25:00,-1.9527792666060978e-05
2026-04-09 15:30:00,0.0004895468771277789
2026-04-09 15:35:00,-0.0006124991205271695
2026-04-09 15:40:00,-0.0003812368657140718
2026-04-09 15:45:00,-0.0002551051802129591
2026-04-09 15:50:00,0.0002606524111028001
2026-04-09 15:55:00,-0.0004971581257508394
2026-04-10 09:30:00,-0.00230711737867051
2026-04-10 09:35:00,0.0008569750731293113
2026-04-10 09:40:00,0.0001811325440801184
2026-04-10 09:45:00,-0.0020768234312540895
2026-04-10 09:50:00,-0.00012506376688761287
2026-04-10 09:55:00,0.0013987607823189188
2026-04-10 10:00:00,7.649312898731133e-05
2026-04-10 10:05:00,-0.00011975238854380164
2026-04-10 10:10:00,0.00046435998072739607
2026-04-10 10:15:00,-0.00033517636521002224
2026-04-10 10:20:00,-0.0003735046730281853
2026-04-10 10:25:00,0.0002033784725185618
2026-04-10 10:30:00,-0.0010054577824397644
2026-04-10 10:35:00,-0.0006004544634914267
2026-04-10 10:40:00,-2.9195607321911234e-05
2026-04-10 10:45:00,-0.0006927029842982958
2026-04-10 10:50:00,0.00016713183214347814
2026-04-10 10:55:00,6.499509517250417e-05
2026-04-10 11:00:00,-0.0003298573314335487
2026-04-10 11:05:00,0.00031279846257708697
2026-04-10 11:10:00,-0.00015836460902057023
2026-04-10 11:15:00,-0.0004145050024542035
2026-04-10 11:20:00,0.0004949296511368715
2026-04-10 11:25:00,-0.000609424571327016
2026-04-10 11:30:00,-0.00036284516207901935
2026-04-10 11:35:00,0.00017738931601392788
2026-04-10 11:40:00,-0.00014772375789237112
2026-04-10 11:45:00,-0.0005539437151086809
2026-04-10 11:50:00,-0.0004646561449514655
2026-04-10 11:55:00,-0.000546103429970746
2026-04-10 12:00:00,0.00011579908891282972
2026-04-10 12:05:00,-4.262597599579378e-05
2026-04-10 12:10:00,0.00026203661133669405
2026-04-10 12:15:00,-0.00019820866948041664
2026-04-10 12:20:00,0.00011068567975864453
2026-04-10 12:25:00,3.488590193213464e-05
2026-04-10 12:30:00,-0.00015611635409770147
2026-04-10 12:35:00,-0.00030743315258390923
2026-04-10 12:40:00,-0.0002515893093511707
2026-04-10 12:45:00,0.00045876175750476716
2026-04-10 12:50:00,0.00023328570066726597
2026-04-10 12:55:00,-0.0003637166671263966
2026-04-10 13:00:00,-0.0008612852112687809
2026-04-10 13:05:00,-4.14001409035596e-05
2026-04-10 13:10:00,0.00032145866216855143
2026-04-10 13:15:00,-0.0003088285698143033
2026-04-10 13:20:00,-2.0930044348556028e-05
2026-04-10 13:25:00,-0.00013823962281771636
2026-04-10 13:30:00,9.662334532940412e-05
2026-04-10 13:35:00,0.00021893848524554368
2026-04-10 13:40:00,4.687482326631961e-05
2026-04-10 13:45:00,0.00011567635587082522
2026-04-10 13:50:00,6.468714906983472e-05
2026-04-10 13:55:00,-0.0002448788444057322
2026-04-10 14:00:00,-0.00034965297095935637
2026-04-10 14:05:00,0.00015044976497460236
2026-04-10 14:10:00,-8.111301568106966e-05
2026-04-10 14:15:00,0.0005271028513694068
2026-04-10 14:20:00,-0.0002871843749758898
2026-04-10 14:25:00,0.00023750734767401715
2026-04-10 14:30:00,7.582017163132307e-08
2026-04-10 14:35:00,-0.00036391895568204584
2026-04-10 14:40:00,-9.46775931156379e-05
2026-04-10 14:45:00,2.691025096512154e-06
2026-04-10 14:50:00,-9.133342881322858e-05
2026-04-10 14:55:00,0.0002449275173466318
2026-04-10 15:00:00,0.00012436983957194673
2026-04-10 15:05:00,-0.0001615563099914125
2026-04-10 15:10:00,0.0003962393549212584
2026-04-10 15:15:00,-0.0003430738034446831
2026-04-10 15:20:00,-0.000655996352772831
2026-04-10 15:25:00,0.00011953282953571446
2026-04-10 15:30:00,-0.0002343774839333361
2026-04-10 15:35:00,-0.000721608001274132
2026-04-10 15:40:00,0.00014397392186889623
2026-04-10 15:45:00,-0.00032001036354729266
